Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.273  (± 0.0%) i/s -     22.000  in   5.151236s
==================================
  Mode: wall(10)
  Samples: 180758 (2.08% miss rate)
  GC: 866 (0.48%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
       525   (0.3%)           8   (0.0%)     GraphQL::StaticValidation::ArgumentNamesAreUnique#on_field
        12   (0.0%)           8   (0.0%)     Enumerable#group_by
         7   (0.0%)           7   (0.0%)     String#-@
         7   (0.0%)           7   (0.0%)     GraphQL::Query::Context#dataloader
       221   (0.1%)           7   (0.0%)     GraphQL::Query#get_field
         7   (0.0%)           7   (0.0%)     GraphQL::Schema::NonNull#graphql_name
         7   (0.0%)           7   (0.0%)     GraphQL::TypeKinds::TypeKind#object?
         7   (0.0%)           7   (0.0%)     Kernel#frozen?
         7   (0.0%)           7   (0.0%)     GraphQL::Schema::Member::HasInterfaces#own_interface_type_memberships
       550   (0.3%)           6   (0.0%)     GraphQL::Schema::Object.fields
         6   (0.0%)           6   (0.0%)     JSON::Ext::Generator::State#generate
        34   (0.0%)           6   (0.0%)     GraphQL::Language::Parser#_reduce_37
         7   (0.0%)           6   (0.0%)     Array#select
         7   (0.0%)           6   (0.0%)     GraphQL::Schema::Member::HasDirectives#directives
        20   (0.0%)           6   (0.0%)     GraphQL::Schema::Member::HasDeprecationReason#deprecation_reason
       517   (0.3%)           6   (0.0%)     GraphQL::Language::Visitor#on_field
       783   (0.4%)           6   (0.0%)     GraphQL::StaticValidation::FieldsAreDefinedOnType#on_field
         6   (0.0%)           6   (0.0%)     Array#pack
        23   (0.0%)           6   (0.0%)     GraphQL::Schema::Enum.enum_values
         5   (0.0%)           5   (0.0%)     GraphQL::TypeKinds::TypeKind#interface?
         5   (0.0%)           5   (0.0%)     Module#<=
         5   (0.0%)           5   (0.0%)     GraphQL::Schema::NullMask.call
         5   (0.0%)           5   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#type_definition
         5   (0.0%)           5   (0.0%)     GraphQL::Schema::Member::TypeSystemHelpers#non_null?
         5   (0.0%)           5   (0.0%)     Class#superclass
         5   (0.0%)           5   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#description
         7   (0.0%)           5   (0.0%)     GraphQL::Execution::Interpreter::Runtime#initialize
        20   (0.0%)           5   (0.0%)     GraphQL::StaticValidation::FragmentSpreadsArePossible#on_fragment_spread
        18   (0.0%)           5   (0.0%)     GraphQL::Schema::FindInheritedValue#find_inherited_value
       943   (0.5%)           4   (0.0%)     GraphQL::Query::ValidationPipeline#ensure_has_validated
       888   (0.5%)           4   (0.0%)     (garbage collection)
        65   (0.0%)           4   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_argument
         4   (0.0%)           4   (0.0%)     Array#pop
         5   (0.0%)           4   (0.0%)     GraphQL::Language::Nodes::Field#children
         5   (0.0%)           4   (0.0%)     GraphQL::Schema.error_bubbling
         9   (0.0%)           4   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#find_conflicts_within
         4   (0.0%)           4   (0.0%)     GraphQL::Schema::List#kind
        53   (0.0%)           4   (0.0%)     GraphQL::Schema::Warden#visible_type?
         4   (0.0%)           4   (0.0%)     Array#-
       588   (0.3%)           3   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#on_fragment_definition
         5   (0.0%)           3   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#introspection?
         5   (0.0%)           3   (0.0%)     GraphQL::StaticValidation::ValidationContext#path
